id,value
id_0,28
id_1,64
id_2,20
id_3,30
id_4,10
id_5,37
id_6,41
id_7,15
id_8,48
id_9,34
id_10,38
id_11,59
id_12,37
id_13,42
id_14,31
id_15,13
id_16,51
id_17,25
id_18,19
id_19,20
id_20,15
id_21,26
id_22,39
id_23,12
id_24,58
id_25,43
id_26,28
id_27,10
id_28,30
id_29,35
id_30,20
id_31,12
id_32,17
id_33,10
id_34,19
id_35,37
id_36,20
id_37,27
id_38,6
id_39,59
id_40,46
id_41,17
id_42,51
id_43,19
id_44,44
id_45,51
id_46,61
id_47,41
id_48,51
id_49,41
id_50,31
id_51,25
id_52,40
id_53,27
id_54,39
id_55,40
id_56,26
id_57,23
id_58,36
id_59,32
id_60,15
id_61,23
id_62,31
id_63,57
id_64,50
id_65,27
id_66,42
id_67,54
id_68,29
id_69,38
id_70,65
id_71,53
id_72,47
id_73,10
id_74,13
id_75,39
id_76,62
id_77,2
id_78,46
id_79,41
id_80,8
id_81,22
id_82,7
id_83,32
id_84,12
id_85,5
id_86,16
id_87,12
id_88,12
id_89,27
id_90,30
id_91,11
id_92,13
id_93,7
id_94,36
id_95,16
id_96,17
id_97,9
id_98,11
id_99,3
id_100,13
id_101,18
id_102,12
id_103,5
id_104,14
id_105,38
id_106,26
id_107,8
id_108,14
id_109,15
id_110,15
id_111,18
id_112,14
id_113,28
id_114,23
id_115,14
id_116,10
id_117,45
id_118,32
id_119,1
id_120,2
id_121,11
id_122,16
id_123,15
id_124,7
id_125,27
id_126,22
id_127,12
id_128,20
id_129,17
id_130,4
id_131,36
id_132,15
id_133,26
id_134,24
id_135,22
id_136,9
id_137,20
id_138,77
id_139,63
id_140,27
id_141,18
id_142,26
id_143,8
id_144,12
id_145,9
id_146,23
id_147,8
id_148,13
id_149,18
id_150,52
id_151,22
id_152,24
id_153,16
id_154,13
id_155,26
id_156,22
id_157,34
id_158,2
id_159,20
id_160,44
id_161,20
id_162,56
id_163,20
id_164,38
id_165,26
id_166,22
id_167,1
id_168,69
id_169,17
id_170,18
id_171,71
id_172,21
id_173,2
id_174,25
id_175,2
id_176,7
id_177,20
id_178,22
id_179,21
id_180,43
id_181,26
id_182,29
id_183,12
id_184,9
id_185,42
id_186,39
id_187,34
id_188,16
id_189,22
id_190,15
id_191,14
id_192,34
id_193,80
id_194,29
id_195,12
id_196,62
id_197,16
id_198,19
id_199,24
id_200,125
id_201,28
id_202,58
id_203,5
id_204,61
id_205,36
id_206,19
id_207,15
id_208,62
id_209,15
id_210,32
id_211,74
id_212,20
id_213,119
id_214,39
id_215,83
id_216,94
id_217,72
id_218,27
id_219,21
id_220,31
id_221,53
id_222,29
id_223,41
id_224,44
id_225,8
id_226,6
id_227,71
id_228,27
id_229,2
id_230,39
id_231,16
id_232,22
id_233,10
id_234,11
id_235,22
id_236,13
id_237,0
id_238,21
id_239,2
