id,value
id_0,28
id_1,63
id_2,19
id_3,28
id_4,10
id_5,34
id_6,39
id_7,14
id_8,46
id_9,33
id_10,39
id_11,61
id_12,36
id_13,39
id_14,23
id_15,13
id_16,52
id_17,23
id_18,18
id_19,19
id_20,14
id_21,25
id_22,38
id_23,14
id_24,60
id_25,44
id_26,28
id_27,10
id_28,30
id_29,35
id_30,18
id_31,12
id_32,17
id_33,8
id_34,18
id_35,36
id_36,20
id_37,27
id_38,7
id_39,63
id_40,46
id_41,17
id_42,50
id_43,19
id_44,43
id_45,50
id_46,64
id_47,40
id_48,51
id_49,42
id_50,30
id_51,25
id_52,43
id_53,26
id_54,38
id_55,38
id_56,25
id_57,22
id_58,36
id_59,29
id_60,13
id_61,21
id_62,31
id_63,55
id_64,50
id_65,26
id_66,41
id_67,55
id_68,28
id_69,39
id_70,68
id_71,53
id_72,45
id_73,11
id_74,13
id_75,37
id_76,62
id_77,4
id_78,46
id_79,40
id_80,8
id_81,21
id_82,9
id_83,35
id_84,11
id_85,7
id_86,16
id_87,12
id_88,12
id_89,26
id_90,30
id_91,11
id_92,13
id_93,9
id_94,36
id_95,16
id_96,16
id_97,9
id_98,11
id_99,5
id_100,14
id_101,19
id_102,11
id_103,7
id_104,14
id_105,36
id_106,26
id_107,10
id_108,16
id_109,17
id_110,14
id_111,16
id_112,14
id_113,27
id_114,23
id_115,15
id_116,11
id_117,44
id_118,30
id_119,2
id_120,4
id_121,12
id_122,16
id_123,15
id_124,7
id_125,28
id_126,23
id_127,13
id_128,19
id_129,17
id_130,5
id_131,36
id_132,16
id_133,29
id_134,23
id_135,21
id_136,11
id_137,20
id_138,82
id_139,68
id_140,27
id_141,17
id_142,25
id_143,10
id_144,13
id_145,10
id_146,22
id_147,9
id_148,14
id_149,18
id_150,51
id_151,20
id_152,24
id_153,16
id_154,14
id_155,27
id_156,20
id_157,33
id_158,3
id_159,17
id_160,44
id_161,19
id_162,55
id_163,20
id_164,38
id_165,25
id_166,20
id_167,2
id_168,68
id_169,18
id_170,19
id_171,71
id_172,20
id_173,4
id_174,22
id_175,2
id_176,8
id_177,20
id_178,21
id_179,21
id_180,43
id_181,26
id_182,29
id_183,13
id_184,9
id_185,42
id_186,38
id_187,32
id_188,16
id_189,23
id_190,14
id_191,13
id_192,33
id_193,81
id_194,32
id_195,13
id_196,61
id_197,17
id_198,19
id_199,23
id_200,151
id_201,27
id_202,65
id_203,6
id_204,61
id_205,33
id_206,17
id_207,15
id_208,67
id_209,12
id_210,32
id_211,73
id_212,21
id_213,115
id_214,40
id_215,79
id_216,100
id_217,72
id_218,29
id_219,20
id_220,31
id_221,51
id_222,28
id_223,40
id_224,45
id_225,7
id_226,6
id_227,74
id_228,27
id_229,3
id_230,39
id_231,15
id_232,21
id_233,9
id_234,12
id_235,22
id_236,13
id_237,1
id_238,23
id_239,3
