id,value
id_0,28
id_1,62
id_2,20
id_3,29
id_4,10
id_5,35
id_6,40
id_7,14
id_8,46
id_9,34
id_10,39
id_11,61
id_12,34
id_13,40
id_14,22
id_15,13
id_16,51
id_17,24
id_18,18
id_19,20
id_20,14
id_21,24
id_22,38
id_23,14
id_24,61
id_25,44
id_26,27
id_27,10
id_28,30
id_29,35
id_30,19
id_31,13
id_32,17
id_33,8
id_34,19
id_35,37
id_36,20
id_37,27
id_38,6
id_39,61
id_40,46
id_41,17
id_42,50
id_43,20
id_44,44
id_45,51
id_46,62
id_47,40
id_48,52
id_49,42
id_50,30
id_51,25
id_52,40
id_53,27
id_54,38
id_55,39
id_56,26
id_57,22
id_58,36
id_59,30
id_60,14
id_61,21
id_62,31
id_63,57
id_64,52
id_65,26
id_66,41
id_67,53
id_68,29
id_69,36
id_70,66
id_71,53
id_72,45
id_73,10
id_74,13
id_75,37
id_76,63
id_77,4
id_78,45
id_79,40
id_80,9
id_81,21
id_82,8
id_83,32
id_84,11
id_85,6
id_86,16
id_87,12
id_88,13
id_89,27
id_90,29
id_91,11
id_92,13
id_93,9
id_94,35
id_95,17
id_96,17
id_97,9
id_98,11
id_99,5
id_100,14
id_101,19
id_102,12
id_103,7
id_104,14
id_105,36
id_106,26
id_107,10
id_108,14
id_109,15
id_110,15
id_111,18
id_112,14
id_113,27
id_114,22
id_115,15
id_116,11
id_117,44
id_118,31
id_119,3
id_120,4
id_121,11
id_122,16
id_123,15
id_124,7
id_125,28
id_126,23
id_127,11
id_128,20
id_129,15
id_130,4
id_131,36
id_132,15
id_133,26
id_134,24
id_135,22
id_136,11
id_137,20
id_138,84
id_139,63
id_140,26
id_141,18
id_142,26
id_143,10
id_144,13
id_145,9
id_146,24
id_147,9
id_148,14
id_149,18
id_150,52
id_151,21
id_152,24
id_153,16
id_154,14
id_155,26
id_156,19
id_157,33
id_158,4
id_159,18
id_160,44
id_161,19
id_162,57
id_163,21
id_164,39
id_165,26
id_166,22
id_167,3
id_168,69
id_169,17
id_170,19
id_171,73
id_172,19
id_173,5
id_174,22
id_175,3
id_176,9
id_177,21
id_178,22
id_179,20
id_180,44
id_181,25
id_182,27
id_183,13
id_184,9
id_185,42
id_186,38
id_187,32
id_188,16
id_189,23
id_190,15
id_191,13
id_192,33
id_193,82
id_194,29
id_195,13
id_196,62
id_197,17
id_198,18
id_199,23
id_200,160
id_201,28
id_202,61
id_203,7
id_204,62
id_205,34
id_206,18
id_207,15
id_208,65
id_209,12
id_210,32
id_211,72
id_212,20
id_213,99
id_214,38
id_215,84
id_216,108
id_217,75
id_218,26
id_219,20
id_220,30
id_221,52
id_222,29
id_223,40
id_224,43
id_225,8
id_226,7
id_227,76
id_228,26
id_229,3
id_230,37
id_231,15
id_232,22
id_233,10
id_234,11
id_235,21
id_236,12
id_237,1
id_238,22
id_239,4
