id,value
id_0,27
id_1,62
id_2,20
id_3,29
id_4,10
id_5,35
id_6,40
id_7,14
id_8,45
id_9,34
id_10,39
id_11,61
id_12,33
id_13,40
id_14,22
id_15,13
id_16,51
id_17,24
id_18,18
id_19,19
id_20,14
id_21,24
id_22,38
id_23,14
id_24,62
id_25,44
id_26,27
id_27,11
id_28,30
id_29,35
id_30,19
id_31,12
id_32,17
id_33,8
id_34,19
id_35,36
id_36,21
id_37,27
id_38,5
id_39,61
id_40,46
id_41,18
id_42,50
id_43,20
id_44,44
id_45,50
id_46,62
id_47,40
id_48,52
id_49,41
id_50,30
id_51,25
id_52,40
id_53,27
id_54,38
id_55,39
id_56,26
id_57,22
id_58,35
id_59,30
id_60,14
id_61,21
id_62,31
id_63,58
id_64,52
id_65,26
id_66,41
id_67,53
id_68,29
id_69,36
id_70,66
id_71,53
id_72,45
id_73,10
id_74,13
id_75,36
id_76,63
id_77,4
id_78,44
id_79,40
id_80,9
id_81,20
id_82,8
id_83,32
id_84,11
id_85,7
id_86,16
id_87,12
id_88,14
id_89,26
id_90,28
id_91,11
id_92,14
id_93,9
id_94,34
id_95,17
id_96,16
id_97,9
id_98,11
id_99,6
id_100,14
id_101,19
id_102,11
id_103,7
id_104,14
id_105,36
id_106,26
id_107,10
id_108,14
id_109,15
id_110,15
id_111,17
id_112,14
id_113,26
id_114,22
id_115,15
id_116,12
id_117,43
id_118,30
id_119,3
id_120,4
id_121,11
id_122,16
id_123,15
id_124,7
id_125,27
id_126,23
id_127,12
id_128,19
id_129,15
id_130,5
id_131,36
id_132,16
id_133,25
id_134,24
id_135,22
id_136,11
id_137,20
id_138,85
id_139,63
id_140,26
id_141,17
id_142,26
id_143,10
id_144,13
id_145,9
id_146,23
id_147,9
id_148,14
id_149,17
id_150,52
id_151,21
id_152,24
id_153,15
id_154,14
id_155,26
id_156,19
id_157,33
id_158,5
id_159,17
id_160,44
id_161,19
id_162,57
id_163,20
id_164,38
id_165,26
id_166,22
id_167,3
id_168,69
id_169,17
id_170,18
id_171,74
id_172,18
id_173,5
id_174,22
id_175,3
id_176,9
id_177,21
id_178,21
id_179,20
id_180,43
id_181,25
id_182,27
id_183,13
id_184,9
id_185,42
id_186,38
id_187,32
id_188,16
id_189,22
id_190,15
id_191,13
id_192,33
id_193,82
id_194,29
id_195,14
id_196,62
id_197,17
id_198,18
id_199,23
id_200,168
id_201,28
id_202,61
id_203,8
id_204,62
id_205,33
id_206,18
id_207,16
id_208,66
id_209,12
id_210,32
id_211,71
id_212,20
id_213,93
id_214,38
id_215,82
id_216,110
id_217,75
id_218,26
id_219,20
id_220,30
id_221,51
id_222,29
id_223,39
id_224,43
id_225,8
id_226,8
id_227,77
id_228,26
id_229,3
id_230,37
id_231,15
id_232,21
id_233,9
id_234,11
id_235,21
id_236,12
id_237,2
id_238,22
id_239,4
